Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"Raven Emperor (Absolute Version)","Kobaryo","SUPER KEY GENERATOR","Favorite Songs","Playlist","TCJPV2369904","1685132218"
"crystallized","かめりあ","crystallized","Favorite Songs","Playlist","TCJPD1674073","1080230445"
"Disorder (feat. YURI)","Hyun","Cross†Soul","Favorite Songs","Playlist","KRC772100146","1603539467"
"Viyella's Nightmare","Laur","Afflict","Favorite Songs","Playlist","TCJPQ2121799","1592941408"
"無間嫉妬劇場『666』","森羅万象","ネタミニティ","Favorite Songs","Playlist","JPW561807030","1437769867"
"三妖精SAY YA!!!","森羅万象","エイセイパレード","Favorite Songs","Playlist","JPW561906377","1481178414"
"Sound Chimera","Laur","The Angel's Message","Favorite Songs","Playlist","TCJPG1894835","1378874814"
"Galaxy Friends","Kobaryo","MIXPEED ACTION","Favorite Songs","Playlist","JPS801834614","1387451665"
"Glitched Character","Kobaryo","Super Dream Zone","Favorite Songs","Playlist","JPP561100993","1546093841"
"Flashback","ARForest","Arcaea Sound Collection: Memories of Light","Favorite Songs","Playlist","TCAER2055533","1524421043"
"ラグトレイン","稲葉曇","ウェザーステーション","Favorite Songs","Playlist","JPX562000064","1610321707"
"Good bye, Merry-Go-Round. (Long Ver.)","Yooh","HYPER FULL THROTTLE","Favorite Songs","Playlist","TCJPT2246845","1652054110"
"感情の摩天楼 ~ Cosmic Mind","交響アクティブNEETs","東方フィルハーモニー交響楽団9 星","Favorite Songs","Playlist","JPW561903020","1455464979"
"アスノヨゾラ哨戒班","ダズビー","Remindful.Two","Favorite Songs","Playlist","JPPO02201834","1624611026"
"ロミオとシンデレラ","doriko","ロミオとシンデレラ - Single","Favorite Songs","Playlist","JPA652206041","1648263854"
"Lunàtixxx Gear","Laur & HyuN","Lunàtixxx Gear - Single","Favorite Songs","Playlist","TCJPU2397938","1674453062"
"You & DIE","USAO","You & DIE - Single","Favorite Songs","Playlist","TCJPN2025481","1543163974"
"魔王","sasakure.UK & TJ.hangneil","魔王 - Single","Favorite Songs","Playlist","TCJPS2244873","1633727063"
"BATTLE NO.1","TANO*C Sound Team","BATTLE NO.1 - Single","Favorite Songs","Playlist","TCJPK2034213","1496096331"
"Knight Rider","USAO","Knight Rider - Single","Favorite Songs","Playlist","JPP561101120","1656471044"
"Tempestissimo","t+pazolite","Tempestissimo - Single","Favorite Songs","Playlist","TCJPL2081975","1516965804"
"Dimension Hacker","Kobaryo","Dimension Hacker - Single","Favorite Songs","Playlist","TCJPQ2165912","1600860378"
"Darkmoon Dissolve (feat. Srezcat)","Kobaryo","Darkmoon Dissolve (feat. Srezcat) - Single","Favorite Songs","Playlist","TCJPS2202342","1626216059"
"Crystal Gravity","Tanchiky & siromaru","Crystal Gravity - Single","Favorite Songs","Playlist","TCJPO2170283","1567179346"
"Gravisphere Crisis","Tanchiky & siromaru","GRAVISPHERE CRISIS","Favorite Songs","Playlist","TCJPQ2124943","1593145770"
"eden","Gram","eden - Single","Favorite Songs","Playlist","TCJPP2116609","1575681095"
"Equilibrium","Maozon","Equilibrium - Single","Favorite Songs","Playlist","TCJPM2007174","1523453304"
"EVE","P*Light","EVE - Single","Favorite Songs","Playlist","TCJPP2116607","1575684282"
"Aegleseeker","Silentroom & Frums","Aegleseeker - Single","Favorite Songs","Playlist","TCJPO2181433","1569408474"
"U-0","Srezcat","U-0 - Single","Favorite Songs","Playlist","SE5752378279","1675447534"
"Escape (The Looking-Glass, and What Alice Found There) [feat. Sennzai]","黒皇帝","Escape (The Looking-Glass, and What Alice Found There) [feat. Sennzai] - Single","Favorite Songs","Playlist","SE62M2288330","1653825388"
"Cybernecia Catharsis","Tanchiky","Arcaea Sound Collection: Memories of Conflict","Favorite Songs","Playlist","TCAER2055581","1524422209"
"Capella","ARForest","Capella - Single","Favorite Songs","Playlist","QM42K2317895","1669513182"
"Bookmaker","Kobaryo","Fionaredica - Single","Favorite Songs","Playlist","SE5751928738","1461971457"
"Auxesia","ginkiha","Arcaea Sound Collection (Memories of Realms)","Favorite Songs","Playlist","TCAFM2172856","1566298892"
"Berserk (feat. Katali)","削除","CRYSTAR -クライスタ- Sakuzyo Complete Soundtrack","Favorite Songs","Playlist","TCJPJ1970176","1502879667"
"Crystar (feat. Katali)","削除","CRYSTAR -クライスタ- Sakuzyo Complete Soundtrack","Favorite Songs","Playlist","TCJPJ1970173","1502879662"
"Regret","ARForest","Frost Era","Favorite Songs","Playlist","TCAEM1979134","1487206865"
"Future Cαndy","YUC'e","Future Cαke","Favorite Songs","Playlist","JPV751700094","1290135839"
"心という名の不可解","Ado","狂言","Favorite Songs","Playlist","JPPO02105119","1603820307"
"テリトリーバトル","ツユ","貴方を不幸に誘いますね","Favorite Songs","Playlist","TCJPP2121516","1576364815"
